CustomerID,StockCode,Description,InvoiceDate
29fe3158-1b72-5dbe-aade-9474b0eb76b8,475::Industrial,Industrial,1782240796
c94daf09-ffe7-5e01-a84b-b7958226f089,318::Smart Home,Smart Home,1782421246
c94daf09-ffe7-5e01-a84b-b7958226f089,163::Electronics,Electronics,1782977855
916335db-ade8-585b-9635-03d42a997e87,332::Home,Home,1783252955
6364557a-e84d-5f0b-807d-d9794a8d7b2a,186::Food &amp; Grocery,Food &amp; Grocery,1782291899
c94daf09-ffe7-5e01-a84b-b7958226f089,427::Art,Art,1782161618
916335db-ade8-585b-9635-03d42a997e87,251::Jewelry &amp; Watches,Jewelry &amp; Watches,1781335774
916335db-ade8-585b-9635-03d42a997e87,467::Health,Health,1781394071
c94daf09-ffe7-5e01-a84b-b7958226f089,59::Garden &amp; Tools,Garden &amp; Tools,1782513349
c94daf09-ffe7-5e01-a84b-b7958226f089,238::Handmade,Handmade,1781803832
0e1e9be1-420c-5b5f-b4ad-f2f0d63b08b3,219::Entertainment,Entertainment,1788931884
a3c5d68a-4a0a-595a-8675-bcd42b3e548a,122::Games,Games,1788934651
a3c5d68a-4a0a-595a-8675-bcd42b3e548a,249::Pet Supplies,Pet Supplies,1788935413
a3c5d68a-4a0a-595a-8675-bcd42b3e548a,406::Music,Music,1788935930
a3c5d68a-4a0a-595a-8675-bcd42b3e548a,303::Baby,Baby,1788936314
0bd7a094-a6ea-5d55-ae03-1b7062461ea8,45::Handmade,Handmade,1788946757
226c4fb2-7f04-5598-8bfb-c1f6c0430e07,253::Beauty,Beauty,1788946812
a3c5d68a-4a0a-595a-8675-bcd42b3e548a,135::Art,Art,1788946854
a3c5d68a-4a0a-595a-8675-bcd42b3e548a,98::Handmade,Handmade,1788946854
2b59fd80-be07-56b5-b303-1bf493c47f4e,381::Handmade,Handmade,1785565742
a6616682-896f-57fd-8466-c59b36b5f83d,223::Entertainment,Entertainment,1786062317
bbc66967-b179-5b45-872b-757cb0b6d763,430::Games,Games,1786085015
701f83fd-a27e-5598-8e83-a00523ec585f,150::Pet Supplies,Pet Supplies,1785649779
2b59fd80-be07-56b5-b303-1bf493c47f4e,31::Food &amp; Grocery,Food &amp; Grocery,1785650765
bcc69c81-5039-5a69-b8ec-983d249a6aa1,238::Toys,Toys,1785651953
fda2427c-b4e9-5439-87ae-2a3cad3b16a7,464::Music,Music,1785653202
d74b2e4a-470c-596c-adc7-44686abeea66,424::Smart Home,Smart Home,1785700455
b2172eae-3293-501b-90b3-2d213a838d9d,122::Health,Health,1787036298
e92f4904-80b5-5fc5-bf4d-7864d50bdbc0,410::Toys,Toys,1787085277
d74b2e4a-470c-596c-adc7-44686abeea66,243::Pet Supplies,Pet Supplies,1786843793
cfb8568a-82f5-5079-b5a5-5895ec98e8a7,252::Smart Home,Smart Home,1786852358
d74b2e4a-470c-596c-adc7-44686abeea66,251::Entertainment,Entertainment,1786862709
bcc69c81-5039-5a69-b8ec-983d249a6aa1,50::Clothing,Clothing,1786772336
fda2427c-b4e9-5439-87ae-2a3cad3b16a7,398::Kids,Kids,1786773937
fda2427c-b4e9-5439-87ae-2a3cad3b16a7,86::Industrial,Industrial,1786775057
fda2427c-b4e9-5439-87ae-2a3cad3b16a7,269::Health,Health,1786775446
8ea1ed13-dc4b-59cf-bfcc-60d4d94ee40d,423::Garden &amp; Tools,Garden &amp; Tools,1786775555
